Line Number,Bytecode ID,Instruction Index,Function identifier,Function label,Instruction,Hits,Misses
1,0,4,42,lambda-42,LOAD_FIELD,0,8191
1,1,4,43,lambda-43,LOAD_FIELD,4095,4109
1,5,4,87,-,LOAD_FIELD,4094,4096
1,13,4,91,=,LOAD_FIELD,0,8192
1,15,12,92,!=,LOAD_FIELD,7939,266
1,23,4,96,>=,LOAD_FIELD,8077,15
8,39,16,103,_TowersDisk.init-values,STORE_FIELD,13,1
23,43,132,104,Towers._push_disk,LOAD_FIELD,8204,1
19,43,72,104,Towers._push_disk,LOAD_FIELD,8076,1
19,43,80,104,Towers._push_disk,LOAD_FIELD,8076,1
23,43,136,104,Towers._push_disk,LOAD_FIELD,8204,1
18,43,4,104,Towers._push_disk,LOAD_FIELD,8204,1
22,43,120,104,Towers._push_disk,STORE_FIELD,8204,1
18,43,8,104,Towers._push_disk,LOAD_FIELD,8204,1
30,44,68,105,Towers._pop_disk_from,LOAD_FIELD,8190,1
31,44,96,105,Towers._pop_disk_from,STORE_FIELD,8190,1
30,44,48,105,Towers._pop_disk_from,LOAD_FIELD,8190,1
30,44,52,105,Towers._pop_disk_from,LOAD_FIELD,8190,1
28,44,4,105,Towers._pop_disk_from,LOAD_FIELD,8190,1
28,44,8,105,Towers._pop_disk_from,LOAD_FIELD,8190,1
38,45,52,106,Towers._move_top_disk,LOAD_FIELD,8190,1
38,45,76,106,Towers._move_top_disk,STORE_FIELD,8190,1
37,45,16,106,Towers._move_top_disk,LOAD_FIELD,8190,1
37,45,4,106,Towers._move_top_disk,LOAD_FIELD,8190,1
38,45,56,106,Towers._move_top_disk,LOAD_FIELD,0,8191
45,46,64,107,Towers._build_tower_at,LOAD_FIELD,0,14
48,46,116,107,Towers._build_tower_at,LOAD_FIELD,0,14
46,46,88,107,Towers._build_tower_at,LOAD_FIELD,13,1
53,47,28,108,Towers._move_disks,LOAD_FIELD,4095,1
58,47,176,108,Towers._move_disks,LOAD_FIELD,4094,1
57,47,148,108,Towers._move_disks,LOAD_FIELD,4094,1
56,47,104,108,Towers._move_disks,LOAD_FIELD,4094,1
56,47,116,108,Towers._move_disks,LOAD_FIELD,0,4095
58,47,188,108,Towers._move_disks,LOAD_FIELD,4094,1
67,48,124,109,Towers.benchmark,LOAD_FIELD,0,1
66,48,92,109,Towers.benchmark,LOAD_FIELD,0,1
64,48,40,109,Towers.benchmark,LOAD_FIELD,0,1
65,48,80,109,Towers.benchmark,STORE_FIELD,0,1
63,48,28,109,Towers.benchmark,STORE_FIELD,0,1
74,52,4,0,repl,LOAD_FIELD,0,1
75,52,32,0,repl,LOAD_FIELD,0,1
