Line Number,Bytecode ID,Instruction Index,Function Identifier,Function Label,Instruction,Jumps taken,Jumps not taken
26,39,264,105,Ball.bounce,JUMP,358,0
26,39,168,105,Ball.bounce,JUMP_IF_FALSE,4642,358
32,39,380,105,Ball.bounce,JUMP,354,0
32,39,300,105,Ball.bounce,JUMP_IF_FALSE,4646,354
38,39,416,105,Ball.bounce,JUMP_IF_FALSE,4645,355
38,39,512,105,Ball.bounce,JUMP,355,0
44,39,548,105,Ball.bounce,JUMP_IF_FALSE,4641,359
44,39,628,105,Ball.bounce,JUMP,359,0
66,41,104,107,Bounce.benchmark,JUMP_IF_FALSE_PEEK,1,100
66,41,160,107,Bounce.benchmark,JUMP,100,0
72,41,308,107,Bounce.benchmark,JUMP,100,0
72,41,204,107,Bounce.benchmark,JUMP_IF_FALSE_PEEK,1,100
81,41,352,107,Bounce.benchmark,JUMP_IF_FALSE_PEEK,1,50
81,41,560,107,Bounce.benchmark,JUMP,50,0
84,41,404,107,Bounce.benchmark,JUMP_IF_FALSE_PEEK,50,5000
84,41,524,107,Bounce.benchmark,JUMP,5000,0
86,41,484,107,Bounce.benchmark,JUMP,1331,0
86,41,456,107,Bounce.benchmark,JUMP_IF_FALSE,3669,1331
109,47,28,111,custom_abs,JUMP,713,0
109,47,20,111,custom_abs,JUMP_IF_FALSE,713,713
