Line Number,Bytecode ID,Instruction Index,Function Identifier,Function Label,Instruction,Jumps taken,Jumps not taken
1,31,4,101,not,JUMP_IF_FALSE,94210,40197
1,2,32,64,lambda-64,JUMP_IF_FALSE,0,27065
1,2,40,64,lambda-64,JUMP,27065,0
1,31,12,101,not,JUMP,40197,0
5,85,24,149,_IdEntry.match,JUMP_IF_FALSE_PEEK,0,3016
14,39,108,105,empty_vec,JUMP,53265,0
14,39,52,105,empty_vec,JUMP_IF_FALSE_PEEK,9174,53265
24,66,20,131,_hash,JUMP_IF_FALSE,3032,0
32,97,124,157,_Planner.incremental_add,JUMP,3005,0
32,97,84,157,_Planner.incremental_add,JUMP_IF_FALSE_PEEK,3009,3005
32,42,24,107,Vector.init-values,JUMP_IF_FALSE,9030,0
38,43,64,108,Vector.at,JUMP_IF_FALSE,1998,0
38,43,24,108,Vector.at,JUMP_IF_TRUE_PEEK,0,1998
50,99,60,159,each,JUMP,5,0
50,99,36,159,each,JUMP_IF_FALSE,0,5
50,99,16,159,each,JUMP_IF_FALSE_PEEK,0,5
57,73,136,137,Dictionary.at,JUMP_IF_FALSE_PEEK,3016,3016
57,73,224,137,Dictionary.at,JUMP,3016,0
57,73,112,137,Dictionary.at,JUMP_IF_FALSE_PEEK,0,6032
58,73,164,137,Dictionary.at,JUMP_IF_FALSE,0,3016
58,73,200,137,Dictionary.at,JUMP,3016,0
63,101,328,161,_Planner._make_plan,JUMP,3007,0
63,101,92,161,_Planner._make_plan,JUMP_IF_FALSE_PEEK,5,3007
67,101,176,161,_Planner._make_plan,JUMP_IF_FALSE_PEEK,0,3007
67,101,316,161,_Planner._make_plan,JUMP,3007,0
67,101,200,161,_Planner._make_plan,JUMP_IF_FALSE,0,3007
68,45,64,110,Vector.append,JUMP,9,0
68,45,24,110,Vector.append,JUMP_IF_FALSE,25047,9
71,45,108,110,Vector.append,JUMP_IF_FALSE,24925,122
71,45,336,110,Vector.append,JUMP,122,0
74,45,308,110,Vector.append,JUMP,17960,0
74,45,228,110,Vector.append,JUMP_IF_FALSE_PEEK,122,17960
90,47,44,112,Vector.for_each,JUMP_IF_FALSE_PEEK,17195,155235
90,47,116,112,Vector.for_each,JUMP,155235,0
92,75,212,139,Dictionary.at_put,JUMP,16,0
92,75,116,139,Dictionary.at_put,JUMP_IF_FALSE,0,16
92,103,20,163,each,JUMP_IF_FALSE_PEEK,11020,8012
92,103,64,163,each,JUMP,5004,0
92,103,40,163,each,JUMP_IF_FALSE,14028,5004
100,75,292,139,Dictionary.at_put,JUMP_IF_FALSE,16,0
103,105,56,165,_Planner.add_propagate,JUMP_IF_FALSE_PEEK,6011,8013
103,105,240,165,_Planner.add_propagate,JUMP,8013,0
107,105,140,165,_Planner.add_propagate,JUMP_IF_FALSE,8013,0
124,51,16,116,Vector.remove_first,JUMP_IF_FALSE,14027,0
126,106,224,166,_Planner.change,JUMP,40,0
126,106,148,166,_Planner.change,JUMP_IF_FALSE_PEEK,4,40
132,54,44,119,Vector.remove,JUMP_IF_FALSE,10,0
132,54,24,119,Vector.remove,JUMP_IF_TRUE_PEEK,0,10
138,53,44,118,each,JUMP,5,0
138,53,20,118,each,JUMP_IF_FALSE,4008,5
140,107,40,167,each,JUMP_IF_FALSE,3005,3002
140,107,20,167,each,JUMP_IF_FALSE_PEEK,3002,3005
140,107,60,167,each,JUMP,3002,0
162,113,148,173,_Planner._remove_propagate_from,JUMP_IF_FALSE_PEEK,5,3007
162,113,276,173,_Planner._remove_propagate_from,JUMP,3007,0
164,57,24,122,Vector.capacity,JUMP_IF_FALSE,10,0
166,110,24,170,each,JUMP,6004,0
166,110,16,170,each,JUMP_IF_FALSE,3,6004
167,58,84,123,Vector.sort,JUMP,3,0
167,58,32,123,Vector.sort,JUMP_IF_FALSE,2,3
172,59,20,124,Vector._sort,JUMP_IF_FALSE,3,0
175,59,120,124,Vector._sort,JUMP_IF_FALSE,0,3
175,59,128,124,Vector._sort,JUMP,3,0
196,115,204,175,_Planner_chain_test,JUMP,1001,0
196,115,100,175,_Planner_chain_test,JUMP_IF_FALSE_PEEK,1,1001
205,115,412,175,_Planner_chain_test,JUMP,1000,0
205,115,248,175,_Planner_chain_test,JUMP_IF_FALSE_PEEK,1,1000
209,82,248,146,Dictionary.get_keys,JUMP,16,0
209,82,100,146,Dictionary.get_keys,JUMP_IF_FALSE_PEEK,1,16
211,82,212,146,Dictionary.get_keys,JUMP,8,0
211,82,160,146,Dictionary.get_keys,JUMP_IF_FALSE_PEEK,16,8
224,115,652,175,_Planner_chain_test,JUMP_IF_FALSE_PEEK,1,100
224,115,840,175,_Planner_chain_test,JUMP,100,0
230,115,788,175,_Planner_chain_test,JUMP_IF_FALSE,100,0
254,117,196,176,_Planner_projection_test,JUMP_IF_FALSE_PEEK,1,1000
254,117,456,176,_Planner_projection_test,JUMP,1000,0
271,117,516,176,_Planner_projection_test,JUMP_IF_FALSE,1,0
274,117,592,176,_Planner_projection_test,JUMP_IF_FALSE,1,0
278,117,692,176,_Planner_projection_test,JUMP_IF_FALSE_PEEK,1,999
278,117,852,176,_Planner_projection_test,JUMP,999,0
280,117,800,176,_Planner_projection_test,JUMP_IF_FALSE,999,0
289,117,936,176,_Planner_projection_test,JUMP_IF_FALSE_PEEK,1,999
289,117,1096,176,_Planner_projection_test,JUMP,999,0
291,117,1044,176,_Planner_projection_test,JUMP_IF_FALSE,999,0
349,129,28,185,_Strength.weakest,JUMP,10006,0
349,129,20,185,_Strength.weakest,JUMP_IF_FALSE,0,10006
415,143,16,194,_AbstractConstraint.destroy_constraint,JUMP_IF_FALSE,0,5
415,143,40,194,_AbstractConstraint.destroy_constraint,JUMP,5,0
423,144,32,195,lambda,JUMP_IF_TRUE_PEEK,1002,2000
423,144,44,195,lambda,JUMP_IF_TRUE_PEEK,2000,0
433,147,292,198,_AbstractConstraint.satisfy,JUMP,6011,0
433,147,40,198,_AbstractConstraint.satisfy,JUMP_IF_FALSE,3,6011
440,147,176,198,_AbstractConstraint.satisfy,JUMP,3005,0
440,147,156,198,_AbstractConstraint.satisfy,JUMP_IF_FALSE,3006,3005
443,147,248,198,_AbstractConstraint.satisfy,JUMP_IF_FALSE,6011,0
449,147,336,198,_AbstractConstraint.satisfy,JUMP_IF_FALSE,3,0
495,164,28,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE,4001,1001
496,164,60,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE_PEEK,0,1001
496,164,96,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE,0,1001
505,164,224,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE,2000,2001
506,164,256,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE_PEEK,0,2001
506,164,292,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE,0,2001
515,164,428,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE,2000,0
525,164,596,214,_BinaryConstraint.choose_method,JUMP_IF_FALSE,0,2000
535,165,24,215,_BinaryConstraint.inputs_do,JUMP_IF_FALSE,2000,2000
541,166,24,216,_BinaryConstraint.inputs_has_one,JUMP_IF_FALSE,1,3001
541,166,48,216,_BinaryConstraint.inputs_has_one,JUMP,3001,0
547,168,24,218,_BinaryConstraint.get_output,JUMP_IF_FALSE,6007,25011
547,168,36,218,_BinaryConstraint.get_output,JUMP,25011,0
551,169,24,219,_BinaryConstraint.recalculate,JUMP_IF_FALSE,2000,3000
551,169,64,219,_BinaryConstraint.recalculate,JUMP,3000,0
562,169,192,219,_BinaryConstraint.recalculate,JUMP_IF_FALSE,1000,4000
562,169,212,219,_BinaryConstraint.recalculate,JUMP,4000,0
585,175,24,224,_UnaryConstraint.remove_from_graph,JUMP_IF_FALSE,0,10
585,175,52,224,_UnaryConstraint.remove_from_graph,JUMP,10,0
591,176,32,225,_UnaryConstraint.choose_method,JUMP_IF_FALSE_PEEK,3,1009
606,181,96,230,_UnaryConstraint.recalculate,JUMP_IF_FALSE,5,1004
606,181,116,230,_UnaryConstraint.recalculate,JUMP,1004,0
624,187,60,235,_EqualityConstraint.execute,JUMP,102000,0
624,187,24,235,_EqualityConstraint.execute,JUMP_IF_FALSE,2000,102000
662,193,108,239,_ScaleConstraint.execute,JUMP,23013,0
662,193,24,239,_ScaleConstraint.execute,JUMP_IF_FALSE,11,23013
674,194,24,240,_ScaleConstraint.inputs_do,JUMP_IF_FALSE,1,1001
674,194,96,240,_ScaleConstraint.inputs_do,JUMP,1001,0
686,195,24,241,_ScaleConstraint.recalculate,JUMP_IF_FALSE,2,5004
686,195,64,241,_ScaleConstraint.recalculate,JUMP,5004,0
696,195,168,241,_ScaleConstraint.recalculate,JUMP_IF_FALSE_PEEK,2,5004
