Line Number,Bytecode ID,Instruction Index,Function Identifier,Function Label,Instruction,Jumps taken,Jumps not taken
1,31,4,100,not,JUMP_IF_FALSE,23796,14155
1,2,32,63,lambda-63,JUMP_IF_FALSE,0,3127
1,2,40,63,lambda-63,JUMP,3127,0
1,31,12,100,not,JUMP,14155,0
14,39,52,104,empty_vec,JUMP_IF_FALSE_PEEK,1027,13984
14,39,108,104,empty_vec,JUMP,13984,0
15,68,28,126,Json.verify_result,JUMP_IF_FALSE,1,0
20,68,140,126,Json.verify_result,JUMP_IF_FALSE,1,0
24,68,224,126,Json.verify_result,JUMP_IF_FALSE,1,0
38,45,24,107,Vector.at,JUMP_IF_TRUE_PEEK,0,4
38,45,64,107,Vector.at,JUMP_IF_FALSE,4,0
68,47,24,109,Vector.append,JUMP_IF_FALSE,3123,866
68,47,64,109,Vector.append,JUMP,866,0
71,47,108,109,Vector.append,JUMP_IF_FALSE,3119,4
71,47,336,109,Vector.append,JUMP,4,0
74,47,308,109,Vector.append,JUMP,150,0
74,47,228,109,Vector.append,JUMP_IF_FALSE_PEEK,4,150
93,101,104,144,_Parser.parse,JUMP_IF_FALSE,0,1
93,101,112,144,_Parser.parse,JUMP,1,0
97,102,24,145,_Parser._read_value,JUMP_IF_FALSE,2802,590
99,102,84,145,_Parser._read_value,JUMP_IF_FALSE,2776,26
101,102,144,145,_Parser._read_value,JUMP_IF_FALSE,2773,3
103,102,204,145,_Parser._read_value,JUMP_IF_FALSE,1422,1351
105,102,264,145,_Parser._read_value,JUMP_IF_FALSE,869,553
107,102,324,145,_Parser._read_value,JUMP_IF_FALSE,712,157
109,102,664,145,_Parser._read_value,JUMP_IF_FALSE,0,712
109,102,384,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,7,705
110,102,412,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,19,686
111,102,440,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,242,444
112,102,468,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,251,193
113,102,496,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,19,174
114,102,524,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,41,133
115,102,552,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,37,96
116,102,580,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,51,45
117,102,608,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,17,28
118,102,636,145,_Parser._read_value,JUMP_IF_TRUE_PEEK,11,17
134,104,80,147,_Parser._read_array,JUMP_IF_FALSE,552,1
138,104,176,147,_Parser._read_array,JUMP,2241,0
138,104,148,147,_Parser._read_array,JUMP_IF_FALSE_PEEK,552,2241
140,104,216,147,_Parser._read_array,JUMP_IF_FALSE,552,0
148,105,100,148,_Parser._read_object_key_value_pair,JUMP_IF_FALSE,598,0
161,106,80,149,_Parser._read_object,JUMP_IF_FALSE,157,0
165,106,176,149,_Parser._read_object,JUMP,441,0
165,106,148,149,_Parser._read_object,JUMP_IF_FALSE_PEEK,157,441
167,106,216,149,_Parser._read_object,JUMP_IF_FALSE,157,0
171,107,24,150,_Parser._read_name,JUMP_IF_FALSE,598,0
202,111,32,154,_Parser._read_required_char,JUMP_IF_FALSE,1860,0
214,113,176,156,_Parser._read_string_internal,JUMP,12886,0
214,113,64,156,_Parser._read_string_internal,JUMP_IF_FALSE_PEEK,1949,12886
215,113,92,156,_Parser._read_string_internal,JUMP_IF_FALSE,12886,0
256,116,92,159,_Parser._read_number,JUMP_IF_FALSE,712,0
259,116,188,159,_Parser._read_number,JUMP,693,0
259,116,152,159,_Parser._read_number,JUMP_IF_FALSE,19,693
260,116,184,159,_Parser._read_number,JUMP,1138,0
