Line Number,Bytecode ID,Instruction Index,Function Identifier,Function Label,Instruction,Jumps taken,Jumps not taken
1,31,12,101,not,JUMP,2107,0
1,31,4,101,not,JUMP_IF_FALSE,18752,2107
10,39,24,105,Element.length,JUMP_IF_FALSE,9,1
10,39,32,105,Element.length,JUMP,1,0
24,42,28,108,List.make_list,JUMP,3,0
24,42,20,108,List.make_list,JUMP_IF_FALSE,31,3
37,43,52,109,List.is_shorter_than,JUMP_IF_FALSE_PEEK,2107,18752
37,43,132,109,List.is_shorter_than,JUMP,18050,0
38,43,76,109,List.is_shorter_than,JUMP_IF_FALSE,18050,702
51,44,140,110,List.tail,JUMP,702,0
51,44,24,110,List.tail,JUMP_IF_FALSE,2107,702
