Line Number,Bytecode ID,Instruction Index,Function Identifier,Function Label,Instruction,Jumps taken,Jumps not taken
106,50,172,112,_create_bodies,JUMP_IF_FALSE_PEEK,1,5
106,50,404,112,_create_bodies,JUMP,5,0
125,53,52,113,NBodySystem.advance,JUMP_IF_FALSE_PEEK,250000,1250000
125,53,1032,113,NBodySystem.advance,JUMP,1250000,0
129,53,996,113,NBodySystem.advance,JUMP,2500000,0
129,53,156,113,NBodySystem.advance,JUMP_IF_FALSE_PEEK,1250000,2500000
155,53,1352,113,NBodySystem.advance,JUMP,1250000,0
155,53,1092,113,NBodySystem.advance,JUMP_IF_FALSE_PEEK,250000,1250000
169,54,780,114,NBodySystem.energy,JUMP,5,0
169,54,68,114,NBodySystem.energy,JUMP_IF_FALSE_PEEK,1,5
175,54,744,114,NBodySystem.energy,JUMP,10,0
175,54,360,114,NBodySystem.energy,JUMP_IF_FALSE_PEEK,5,10
198,56,56,116,NBody.inner_benchmark_loop,JUMP_IF_FALSE_PEEK,1,250000
198,56,112,116,NBody.inner_benchmark_loop,JUMP,250000,0
206,57,20,117,NBody._verify_result,JUMP_IF_FALSE,0,1
