Line Number,Bytecode ID,Instruction Index,Function Identifier,Function Label,Instruction,Jumps taken,Jumps not taken
15,41,120,103,Queens.benchmark,JUMP,10,0
15,41,52,103,Queens.benchmark,JUMP_IF_FALSE_PEEK,1,10
16,41,60,103,Queens.benchmark,JUMP_IF_FALSE_PEEK,0,10
35,44,300,106,Queens.place_queen,JUMP,8680,0
35,44,36,106,Queens.place_queen,JUMP_IF_FALSE_PEEK,1050,8760
37,44,260,106,Queens.place_queen,JUMP,1050,0
37,44,64,106,Queens.place_queen,JUMP_IF_FALSE,7630,1130
41,44,152,106,Queens.place_queen,JUMP_IF_FALSE,1120,10
42,44,208,106,Queens.place_queen,JUMP_IF_FALSE,1050,70
54,45,68,107,Queens.get_row_column,JUMP_IF_FALSE_PEEK,6360,2400
55,45,24,107,Queens.get_row_column,JUMP_IF_FALSE_PEEK,5400,3360
