Line Number,Bytecode ID,Instruction Index,Instruction,Jumps taken,Jumps not taken
1,31,4,JUMP_IF_FALSE,118231,11626
1,31,12,JUMP,11626,0
39,40,44,JUMP_IF_FALSE,10127,9987
45,40,184,JUMP,10467,0
45,40,104,JUMP_IF_FALSE_PEEK,10127,10467
47,40,164,JUMP,10127,0
47,40,148,JUMP_IF_FALSE,340,10127
79,49,20,JUMP_IF_FALSE,9296,18588
81,49,64,JUMP_IF_FALSE,9294,9294
89,49,188,JUMP_IF_FALSE,9296,0
101,51,20,JUMP_IF_FALSE,11625,11627
101,51,96,JUMP,11627,0
102,51,48,JUMP_IF_FALSE,9300,2327
102,51,72,JUMP,2327,0
110,51,148,JUMP_IF_FALSE,20310,2942
114,51,224,JUMP_IF_FALSE,17985,2325
120,51,332,JUMP_IF_FALSE,9300,8685
137,53,64,JUMP_IF_FALSE,9999,1
140,53,140,JUMP_IF_FALSE,4992,5007
170,57,20,JUMP_IF_FALSE,2327,2327
173,57,84,JUMP_IF_FALSE,1163,1164
173,57,92,JUMP,1164,0
179,57,404,JUMP,9308,0
179,57,204,JUMP_IF_FALSE_PEEK,2327,9308
181,57,296,JUMP,357,0
181,57,272,JUMP_IF_FALSE,8951,357
215,59,628,JUMP_IF_FALSE_PEEK,0,1
220,60,56,JUMP_IF_FALSE,33245,0
231,62,56,JUMP_IF_FALSE,23246,0
243,63,52,JUMP_IF_FALSE,9999,0
248,63,132,JUMP_IF_FALSE,0,9999
266,66,228,JUMP,106604,0
266,66,52,JUMP_IF_FALSE_PEEK,1,106604
267,66,76,JUMP_IF_FALSE,65790,40814
267,66,108,JUMP,40814,0
272,66,148,JUMP_IF_FALSE,65790,0
366,97,32,JUMP_IF_FALSE_PEEK,41163,59880
366,97,8,JUMP_IF_TRUE_PEEK,5561,101043
370,98,20,JUMP_IF_FALSE_PEEK,42540,23250
370,98,8,JUMP_IF_FALSE_PEEK,24627,41163
418,114,24,JUMP_IF_FALSE,8487,14759
418,114,124,JUMP,11619,0
421,114,104,JUMP_IF_FALSE,11619,3140
431,115,132,JUMP,23250,0
431,115,16,JUMP_IF_FALSE,42540,23250
434,115,92,JUMP_IF_FALSE,8490,14760
434,115,112,JUMP,14760,0
451,120,52,JUMP_IF_FALSE_PEEK,9,38
451,120,108,JUMP,38,0
