# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 271
LOAD_GLOBAL, 308
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 909
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 567
LOAD_NONLOCAL, 16
STORE_GLOBAL, 61
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 184
STORE_FIELD, 82
CALL, 503
JUMP, 121
JUMP_IF_FALSE, 89
JUMP_IF_TRUE_PEEK, 4
JUMP_IF_FALSE_PEEK, 49
RAISE, 22
TRY, 0
CATCH, 0
ASSERT_FUNC, 503
CREATE_OBJECT, 37
CREATE_CLASS, 19
CREATE_LIST, 2
CREATE_FUNC, 37
POP, 392
DUPE, 327
SWAP, 82
RETURN, 9
# Total static bytecodes: 4594
