# Omitting opcode pairs seen zero times during compilation
opcode,next opcode,counts
LOAD_FIELD,ASSERT_FUNC,29
LOAD_LOCAL,LOAD_FIELD,27
ASSERT_FUNC,LOAD_LOCAL,25
DUPE,STORE_GLOBAL,21
CALL,RETURN,18
CREATE_FUNC,DUPE,17
LOAD_LOCAL,CALL,16
LOAD_GLOBAL,ASSERT_FUNC,11
ASSERT_FUNC,CALL,9
CALL,CALL,7
LOAD_CONST,CALL,6
POP,LOAD_GLOBAL,6
JUMP_IF_FALSE,LOAD_GLOBAL,4
ASSERT_FUNC,LOAD_CONST,4
CALL,DUPE,4
STORE_GLOBAL,POP,4
JUMP,LOAD_GLOBAL,3
CALL,JUMP_IF_FALSE,3
DUPE,STORE_LOCAL,3
LOAD_GLOBAL,JUMP,3
LOAD_CONST,DUPE,3
LOAD_GLOBAL,CALL,2
CALL,LOAD_LOCAL,2
STORE_LOCAL,POP,2
POP,JUMP,2
CALL,JUMP_IF_FALSE_PEEK,2
ASSERT_FUNC,LOAD_GLOBAL,2
LOAD_LOCAL,LOAD_LOCAL,2
JUMP,POP,2
CALL,LOAD_CONST,1
POP,LOAD_CONST,1
LOAD_GLOBAL,LOAD_FIELD,1
LOAD_GLOBAL,LOAD_CONST,1
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1
LOAD_CONST,RAISE,1
RAISE,RETURN,1
JUMP_IF_FALSE,LOAD_CONST,1
JUMP_IF_FALSE_PEEK,LOAD_CONST,1
LOAD_GLOBAL,JUMP_IF_FALSE,1
CALL,LOAD_GLOBAL,1
JUMP,LOAD_LOCAL,1
LOAD_GLOBAL,RETURN,1
JUMP,LOAD_CONST,1
LOAD_LOCAL,JUMP_IF_FALSE,1
CALL,POP,1
STORE_LOCAL,JUMP,1
CALL,JUMP,1
LOAD_CONST,LOAD_FIELD,1
