# Omitting opcode pairs seen zero times during compilation
opcode,next opcode,counts
LOAD_LOCAL,LOAD_FIELD,107
LOAD_GLOBAL,ASSERT_FUNC,103
ASSERT_FUNC,LOAD_LOCAL,95
LOAD_FIELD,ASSERT_FUNC,63
DUPE,STORE_LOCAL,52
STORE_LOCAL,POP,51
POP,LOAD_LOCAL,49
CALL,CALL,41
LOAD_LOCAL,CALL,40
CALL,DUPE,36
ASSERT_FUNC,CALL,33
LOAD_CONST,LOAD_CONST,30
LOAD_LOCAL,LOAD_GLOBAL,30
POP,LOAD_GLOBAL,30
DUPE,STORE_GLOBAL,30
LOAD_LOCAL,LOAD_LOCAL,30
DUPE,STORE_FIELD,27
SWAP,DUPE,27
LOAD_FIELD,CALL,23
STORE_FIELD,POP,23
CREATE_FUNC,DUPE,23
CALL,RETURN,21
ASSERT_FUNC,LOAD_GLOBAL,20
ASSERT_FUNC,LOAD_CONST,18
CALL,SWAP,17
LOAD_CONST,CALL,17
LOAD_FIELD,LOAD_LOCAL,13
LOAD_GLOBAL,CALL,12
CALL,LOAD_GLOBAL,12
LOAD_CONST,DUPE,12
CALL,LOAD_LOCAL,11
LOAD_LOCAL,LOAD_CONST,11
CALL,POP,10
LOAD_FIELD,LOAD_FIELD,10
POP,LOAD_CONST,9
LOAD_FIELD,LOAD_GLOBAL,9
CALL,JUMP_IF_FALSE_PEEK,8
POP,JUMP,8
JUMP_IF_FALSE_PEEK,LOAD_LOCAL,7
CREATE_OBJECT,DUPE,7
JUMP,POP,7
LOAD_CONST,SWAP,7
LOAD_GLOBAL,CREATE_OBJECT,7
LOAD_LOCAL,RETURN,7
JUMP_IF_FALSE,LOAD_GLOBAL,6
CALL,JUMP_IF_FALSE,5
LOAD_CONST,LOAD_GLOBAL,4
STORE_GLOBAL,POP,4
LOAD_LOCAL,SWAP,3
JUMP,LOAD_CONST,3
JUMP,LOAD_GLOBAL,3
LOAD_CONST,CREATE_CLASS,3
LOAD_GLOBAL,JUMP,3
CREATE_CLASS,DUPE,3
LOAD_CONST,RAISE,3
LOAD_CONST,LOAD_LOCAL,3
RAISE,RETURN,3
LOAD_CONST,POP,2
RETURN,JUMP,2
LOAD_GLOBAL,RETURN,2
CALL,LOAD_CONST,2
STORE_FIELD,RETURN_INIT,2
STORE_FIELD,RETURN,2
LOAD_GLOBAL,JUMP_IF_FALSE,1
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1
JUMP_IF_FALSE,LOAD_CONST,1
CREATE_LIST,DUPE,1
JUMP,RETURN,1
JUMP,LOAD_LOCAL,1
LOAD_GLOBAL,LOAD_FIELD,1
LOAD_LOCAL,JUMP_IF_FALSE,1
CALL,CREATE_LIST,1
POP,CREATE_FUNC,1
CALL,JUMP,1
STORE_LOCAL,JUMP,1
