# Omitting opcode pairs seen zero times during compilation
opcode,next opcode,counts
LOAD_FIELD,ASSERT_FUNC,35
LOAD_LOCAL,LOAD_FIELD,34
ASSERT_FUNC,LOAD_LOCAL,30
DUPE,STORE_GLOBAL,25
LOAD_LOCAL,CALL,20
POP,LOAD_GLOBAL,19
CREATE_FUNC,DUPE,18
CALL,RETURN,18
LOAD_GLOBAL,ASSERT_FUNC,17
LOAD_GLOBAL,LOAD_FIELD,14
SWAP,DUPE,13
DUPE,STORE_FIELD,13
POP,LOAD_LOCAL,13
STORE_FIELD,POP,12
LOAD_CONST,CALL,12
ASSERT_FUNC,CALL,10
LOAD_CONST,SWAP,9
CALL,CALL,9
LOAD_LOCAL,LOAD_CONST,9
DUPE,STORE_LOCAL,8
STORE_GLOBAL,POP,8
ASSERT_FUNC,LOAD_CONST,7
CALL,DUPE,7
LOAD_FIELD,POP,7
STORE_LOCAL,POP,7
ASSERT_FUNC,LOAD_GLOBAL,5
CALL,JUMP_IF_FALSE_PEEK,5
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,5
JUMP_IF_FALSE,LOAD_GLOBAL,4
JUMP,POP,3
JUMP,LOAD_GLOBAL,3
CREATE_CLASS,DUPE,3
LOAD_GLOBAL,JUMP,3
CALL,JUMP_IF_FALSE,3
CALL,SWAP,3
LOAD_FIELD,LOAD_LOCAL,3
LOAD_GLOBAL,CREATE_OBJECT,3
LOAD_CONST,DUPE,3
POP,JUMP,3
LOAD_FIELD,LOAD_CONST,3
LOAD_GLOBAL,LOAD_GLOBAL,3
POP,LOAD_CONST,3
CREATE_OBJECT,LOAD_GLOBAL,2
CALL,LOAD_LOCAL,2
LOAD_GLOBAL,CREATE_CLASS,2
LOAD_LOCAL,LOAD_LOCAL,2
LOAD_GLOBAL,LOAD_CONST,1
LOAD_GLOBAL,CALL,1
CREATE_OBJECT,CREATE_LIST,1
RAISE,RETURN,1
LOAD_CONST,CREATE_CLASS,1
CREATE_LIST,DUPE,1
LOAD_GLOBAL,SWAP,1
JUMP_IF_FALSE_PEEK,LOAD_LOCAL,1
JUMP_IF_FALSE,LOAD_CONST,1
LOAD_LOCAL,LOAD_GLOBAL,1
LOAD_GLOBAL,DUPE,1
LOAD_LOCAL,JUMP_IF_FALSE,1
LOAD_LOCAL,JUMP_IF_FALSE_PEEK,1
LOAD_LOCAL,RETURN,1
STORE_LOCAL,JUMP,1
LOAD_GLOBAL,JUMP_IF_FALSE,1
STORE_FIELD,RETURN_INIT,1
CALL,LOAD_CONST,1
LOAD_CONST,RAISE,1
CALL,JUMP,1
CALL,POP,1
LOAD_GLOBAL,RETURN,1
JUMP,LOAD_CONST,1
JUMP,LOAD_LOCAL,1
CALL,LOAD_GLOBAL,1
