# Omitting opcode pairs seen zero times during compilation
opcode,next opcode,counts
LOAD_LOCAL,LOAD_FIELD,49
LOAD_FIELD,ASSERT_FUNC,47
ASSERT_FUNC,LOAD_LOCAL,42
LOAD_LOCAL,CALL,29
DUPE,STORE_GLOBAL,21
CREATE_FUNC,DUPE,17
LOAD_GLOBAL,ASSERT_FUNC,17
POP,LOAD_LOCAL,15
ASSERT_FUNC,CALL,14
LOAD_LOCAL,LOAD_LOCAL,12
LOAD_CONST,CALL,10
CALL,POP,9
DUPE,STORE_LOCAL,9
STORE_LOCAL,POP,8
LOAD_LOCAL,LOAD_CONST,7
CALL,DUPE,7
CALL,CALL,7
ASSERT_FUNC,LOAD_CONST,6
POP,LOAD_GLOBAL,6
DUPE,STORE_FIELD,6
CALL,LOAD_LOCAL,6
SWAP,DUPE,6
LOAD_CONST,LOAD_CONST,5
CALL,JUMP_IF_FALSE,5
LOAD_FIELD,LOAD_FIELD,5
JUMP_IF_FALSE,LOAD_GLOBAL,4
JUMP,LOAD_GLOBAL,4
STORE_FIELD,POP,4
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,3
CALL,JUMP_IF_FALSE_PEEK,3
LOAD_GLOBAL,JUMP,3
LOAD_CONST,RAISE,3
LOAD_CONST,CREATE_CLASS,2
JUMP,LOAD_LOCAL,2
ASSERT_FUNC,LOAD_GLOBAL,2
CREATE_OBJECT,DUPE,2
CREATE_CLASS,DUPE,2
LOAD_FIELD,CALL,2
JUMP_IF_FALSE,LOAD_LOCAL,2
LOAD_LOCAL,SWAP,2
JUMP_IF_FALSE,LOAD_CONST,2
LOAD_GLOBAL,LOAD_FIELD,2
LOAD_CONST,SWAP,2
JUMP,LOAD_CONST,2
LOAD_GLOBAL,CREATE_OBJECT,2
LOAD_GLOBAL,CALL,2
POP,JUMP,2
CALL,JUMP,2
LOAD_LOCAL,JUMP_IF_FALSE,2
CREATE_LIST,SWAP,1
LOAD_CONST,CREATE_LIST,1
LOAD_CONST,DUPE,1
LOAD_FIELD,LOAD_LOCAL,1
LOAD_GLOBAL,JUMP_IF_FALSE,1
RAISE,JUMP,1
CALL,SWAP,1
LOAD_LOCAL,JUMP,1
LOAD_CONST,LOAD_LOCAL,1
CALL,LOAD_GLOBAL,1
CALL,LOAD_CONST,1
LOAD_LOCAL,DUPE,1
STORE_LOCAL,JUMP,1
STORE_GLOBAL,POP,1
JUMP,POP,1
