# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_GLOBAL, 2
LOAD_CONST, CALL, 16
LOAD_CONST, CREATE_CLASS, 3
LOAD_CONST, POP, 5
LOAD_CONST, DUPE, 8
LOAD_CONST, SWAP, 2
LOAD_GLOBAL, LOAD_FIELD, 2
LOAD_GLOBAL, CALL, 1
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 31
LOAD_GLOBAL, CREATE_OBJECT, 3
LOAD_GLOBAL, DUPE, 5
LOAD_LOCAL, LOAD_CONST, 5
LOAD_LOCAL, LOAD_GLOBAL, 11
LOAD_LOCAL, LOAD_LOCAL, 6
LOAD_LOCAL, LOAD_FIELD, 46
LOAD_LOCAL, CALL, 21
LOAD_LOCAL, JUMP, 1
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_LOCAL, SWAP, 2
LOAD_FIELD, LOAD_CONST, 3
LOAD_FIELD, LOAD_LOCAL, 4
LOAD_FIELD, CALL, 6
LOAD_FIELD, ASSERT_FUNC, 34
STORE_GLOBAL, POP, 1
STORE_LOCAL, JUMP, 5
STORE_LOCAL, POP, 17
STORE_FIELD, POP, 14
CALL, LOAD_CONST, 8
CALL, CALL, 6
CALL, JUMP_IF_FALSE, 6
CALL, JUMP_IF_FALSE_PEEK, 4
CALL, POP, 4
CALL, DUPE, 7
CALL, SWAP, 11
JUMP, LOAD_CONST, 5
JUMP, LOAD_GLOBAL, 1
JUMP, LOAD_LOCAL, 1
JUMP, POP, 4
JUMP_IF_FALSE, LOAD_GLOBAL, 1
JUMP_IF_FALSE, LOAD_LOCAL, 6
JUMP_IF_FALSE_PEEK, LOAD_CONST, 1
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 1
JUMP_IF_FALSE_PEEK, LOAD_LOCAL, 2
ASSERT_FUNC, LOAD_CONST, 4
ASSERT_FUNC, LOAD_GLOBAL, 5
ASSERT_FUNC, LOAD_LOCAL, 41
ASSERT_FUNC, CALL, 15
CREATE_OBJECT, DUPE, 3
CREATE_CLASS, DUPE, 3
CREATE_LIST, DUPE, 1
CREATE_FUNC, DUPE, 18
POP, LOAD_CONST, 6
POP, LOAD_GLOBAL, 15
POP, LOAD_LOCAL, 19
POP, JUMP, 4
POP, CREATE_LIST, 1
DUPE, STORE_GLOBAL, 23
DUPE, STORE_LOCAL, 22
DUPE, STORE_FIELD, 15
SWAP, DUPE, 15
