# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_GLOBAL, 3
LOAD_CONST, LOAD_LOCAL, 15
LOAD_CONST, CALL, 130
LOAD_CONST, JUMP, 11
LOAD_CONST, RAISE, 4
LOAD_CONST, CREATE_CLASS, 15
LOAD_CONST, POP, 51
LOAD_CONST, DUPE, 24
LOAD_CONST, SWAP, 3
LOAD_CONST, RETURN, 15
LOAD_GLOBAL, LOAD_CONST, 5
LOAD_GLOBAL, LOAD_LOCAL, 3
LOAD_GLOBAL, LOAD_FIELD, 3
LOAD_GLOBAL, CALL, 43
LOAD_GLOBAL, JUMP, 6
LOAD_GLOBAL, ASSERT_FUNC, 312
LOAD_GLOBAL, CREATE_OBJECT, 34
LOAD_GLOBAL, DUPE, 12
LOAD_GLOBAL, SWAP, 27
LOAD_GLOBAL, RETURN, 2
LOAD_LOCAL, LOAD_CONST, 71
LOAD_LOCAL, LOAD_GLOBAL, 32
LOAD_LOCAL, LOAD_LOCAL, 160
LOAD_LOCAL, LOAD_FIELD, 426
LOAD_LOCAL, LOAD_NONLOCAL, 1
LOAD_LOCAL, CALL, 182
LOAD_LOCAL, JUMP, 1
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_LOCAL, ASSERT_FUNC, 4
LOAD_LOCAL, CREATE_OBJECT, 1
LOAD_LOCAL, CREATE_FUNC, 6
LOAD_LOCAL, DUPE, 22
LOAD_LOCAL, SWAP, 48
LOAD_LOCAL, RETURN, 4
LOAD_FIELD, LOAD_CONST, 31
LOAD_FIELD, LOAD_GLOBAL, 40
LOAD_FIELD, LOAD_LOCAL, 52
LOAD_FIELD, LOAD_FIELD, 65
LOAD_FIELD, CALL, 51
LOAD_FIELD, ASSERT_FUNC, 201
LOAD_FIELD, DUPE, 47
LOAD_FIELD, SWAP, 13
LOAD_FIELD, RETURN, 1
LOAD_NONLOCAL, LOAD_GLOBAL, 1
LOAD_NONLOCAL, LOAD_LOCAL, 1
LOAD_NONLOCAL, LOAD_FIELD, 10
LOAD_NONLOCAL, LOAD_NONLOCAL, 1
LOAD_NONLOCAL, CALL, 1
STORE_GLOBAL, POP, 15
STORE_LOCAL, JUMP, 28
STORE_LOCAL, POP, 184
STORE_FIELD, JUMP, 24
STORE_FIELD, POP, 63
CALL, LOAD_CONST, 21
CALL, LOAD_GLOBAL, 18
CALL, LOAD_LOCAL, 28
CALL, CALL, 52
CALL, JUMP, 12
CALL, JUMP_IF_FALSE, 107
CALL, JUMP_IF_TRUE_PEEK, 25
CALL, JUMP_IF_FALSE_PEEK, 57
CALL, POP, 62
CALL, DUPE, 82
CALL, SWAP, 9
CALL, RETURN, 9
JUMP, LOAD_CONST, 61
JUMP, LOAD_GLOBAL, 22
JUMP, LOAD_LOCAL, 24
JUMP, LOAD_NONLOCAL, 1
JUMP, POP, 18
JUMP_IF_FALSE, LOAD_CONST, 20
JUMP_IF_FALSE, LOAD_GLOBAL, 29
JUMP_IF_FALSE, LOAD_LOCAL, 56
JUMP_IF_FALSE, LOAD_NONLOCAL, 3
JUMP_IF_TRUE_PEEK, LOAD_GLOBAL, 24
JUMP_IF_TRUE_PEEK, LOAD_LOCAL, 1
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 42
JUMP_IF_FALSE_PEEK, LOAD_LOCAL, 15
ASSERT_FUNC, LOAD_CONST, 23
ASSERT_FUNC, LOAD_GLOBAL, 55
ASSERT_FUNC, LOAD_LOCAL, 378
ASSERT_FUNC, LOAD_NONLOCAL, 3
ASSERT_FUNC, CALL, 58
CREATE_OBJECT, DUPE, 33
CREATE_CLASS, DUPE, 15
CREATE_LIST, DUPE, 1
CREATE_FUNC, DUPE, 34
POP, LOAD_CONST, 22
POP, LOAD_GLOBAL, 140
POP, LOAD_LOCAL, 202
POP, LOAD_NONLOCAL, 4
POP, JUMP, 22
POP, CREATE_FUNC, 4
DUPE, STORE_GLOBAL, 58
DUPE, STORE_LOCAL, 212
DUPE, STORE_FIELD, 100
SWAP, DUPE, 100
RETURN, JUMP, 26
RETURN, POP, 1
