# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_CONST, 1
LOAD_CONST, LOAD_LOCAL, 16
LOAD_CONST, CALL, 127
LOAD_CONST, JUMP, 10
LOAD_CONST, RAISE, 8
LOAD_CONST, CREATE_CLASS, 6
LOAD_CONST, POP, 41
LOAD_CONST, DUPE, 7
LOAD_CONST, SWAP, 6
LOAD_CONST, RETURN, 6
LOAD_GLOBAL, LOAD_CONST, 1
LOAD_GLOBAL, LOAD_FIELD, 5
LOAD_GLOBAL, CALL, 7
LOAD_GLOBAL, JUMP, 2
LOAD_GLOBAL, ASSERT_FUNC, 150
LOAD_GLOBAL, CREATE_OBJECT, 14
LOAD_GLOBAL, CREATE_CLASS, 5
LOAD_GLOBAL, DUPE, 6
LOAD_GLOBAL, SWAP, 1
LOAD_GLOBAL, RETURN, 7
LOAD_LOCAL, LOAD_CONST, 26
LOAD_LOCAL, LOAD_GLOBAL, 14
LOAD_LOCAL, LOAD_LOCAL, 51
LOAD_LOCAL, LOAD_FIELD, 332
LOAD_LOCAL, LOAD_NONLOCAL, 1
LOAD_LOCAL, CALL, 75
LOAD_LOCAL, JUMP, 2
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_LOCAL, ASSERT_FUNC, 3
LOAD_LOCAL, CREATE_OBJECT, 1
LOAD_LOCAL, CREATE_FUNC, 1
LOAD_LOCAL, DUPE, 7
LOAD_LOCAL, SWAP, 6
LOAD_LOCAL, RETURN, 3
LOAD_FIELD, LOAD_CONST, 46
LOAD_FIELD, LOAD_LOCAL, 19
LOAD_FIELD, LOAD_FIELD, 60
LOAD_FIELD, CALL, 12
LOAD_FIELD, JUMP, 2
LOAD_FIELD, JUMP_IF_TRUE_PEEK, 1
LOAD_FIELD, ASSERT_FUNC, 245
LOAD_FIELD, DUPE, 5
LOAD_FIELD, SWAP, 3
LOAD_NONLOCAL, LOAD_GLOBAL, 1
LOAD_NONLOCAL, LOAD_FIELD, 3
LOAD_NONLOCAL, LOAD_NONLOCAL, 1
LOAD_NONLOCAL, CALL, 1
STORE_GLOBAL, POP, 8
STORE_LOCAL, JUMP, 6
STORE_LOCAL, POP, 62
STORE_FIELD, JUMP, 8
STORE_FIELD, POP, 18
CALL, LOAD_CONST, 18
CALL, LOAD_GLOBAL, 2
CALL, LOAD_LOCAL, 3
CALL, CALL, 57
CALL, JUMP, 6
CALL, JUMP_IF_FALSE, 73
CALL, JUMP_IF_TRUE_PEEK, 24
CALL, JUMP_IF_FALSE_PEEK, 23
CALL, RAISE, 13
CALL, POP, 72
CALL, DUPE, 35
CALL, SWAP, 20
CALL, RETURN, 8
JUMP, LOAD_CONST, 46
JUMP, LOAD_GLOBAL, 5
JUMP, LOAD_LOCAL, 22
JUMP, LOAD_NONLOCAL, 1
JUMP, JUMP, 1
JUMP, POP, 14
JUMP_IF_FALSE, LOAD_CONST, 19
JUMP_IF_FALSE, LOAD_GLOBAL, 14
JUMP_IF_FALSE, LOAD_LOCAL, 40
JUMP_IF_FALSE, LOAD_NONLOCAL, 1
JUMP_IF_TRUE_PEEK, LOAD_GLOBAL, 23
JUMP_IF_TRUE_PEEK, LOAD_LOCAL, 2
JUMP_IF_FALSE_PEEK, LOAD_CONST, 3
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 9
JUMP_IF_FALSE_PEEK, LOAD_LOCAL, 11
RAISE, JUMP, 13
ASSERT_FUNC, LOAD_CONST, 58
ASSERT_FUNC, LOAD_GLOBAL, 18
ASSERT_FUNC, LOAD_LOCAL, 202
ASSERT_FUNC, LOAD_NONLOCAL, 1
ASSERT_FUNC, CALL, 119
CREATE_OBJECT, DUPE, 11
CREATE_CLASS, DUPE, 11
CREATE_LIST, DUPE, 1
CREATE_FUNC, DUPE, 21
POP, LOAD_CONST, 7
POP, LOAD_GLOBAL, 69
POP, LOAD_LOCAL, 119
POP, LOAD_NONLOCAL, 1
POP, JUMP, 17
POP, CREATE_FUNC, 2
DUPE, STORE_GLOBAL, 36
DUPE, STORE_LOCAL, 68
DUPE, STORE_FIELD, 36
SWAP, DUPE, 36
RETURN, JUMP, 24
