# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_LOCAL, 7
LOAD_CONST, CALL, 16
LOAD_CONST, RAISE, 2
LOAD_CONST, CREATE_CLASS, 1
LOAD_CONST, POP, 5
LOAD_CONST, DUPE, 16
LOAD_GLOBAL, LOAD_FIELD, 1
LOAD_GLOBAL, CALL, 3
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 40
LOAD_GLOBAL, CREATE_OBJECT, 1
LOAD_GLOBAL, DUPE, 2
LOAD_LOCAL, LOAD_CONST, 10
LOAD_LOCAL, LOAD_GLOBAL, 1
LOAD_LOCAL, LOAD_LOCAL, 7
LOAD_LOCAL, LOAD_FIELD, 27
LOAD_LOCAL, CALL, 35
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_LOCAL, JUMP_IF_FALSE_PEEK, 1
LOAD_FIELD, ASSERT_FUNC, 28
STORE_LOCAL, JUMP, 3
STORE_LOCAL, POP, 30
CALL, LOAD_CONST, 3
CALL, LOAD_LOCAL, 7
CALL, CALL, 10
CALL, JUMP_IF_FALSE, 6
CALL, JUMP_IF_FALSE_PEEK, 3
CALL, POP, 3
CALL, DUPE, 15
CALL, RETURN, 3
JUMP, LOAD_CONST, 5
JUMP, LOAD_GLOBAL, 2
JUMP, POP, 3
JUMP_IF_FALSE, LOAD_GLOBAL, 5
JUMP_IF_FALSE, LOAD_LOCAL, 2
JUMP_IF_FALSE_PEEK, LOAD_CONST, 1
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 3
ASSERT_FUNC, LOAD_CONST, 10
ASSERT_FUNC, LOAD_GLOBAL, 14
ASSERT_FUNC, LOAD_LOCAL, 40
ASSERT_FUNC, CALL, 4
CREATE_OBJECT, DUPE, 1
CREATE_CLASS, DUPE, 1
CREATE_FUNC, DUPE, 17
POP, LOAD_CONST, 14
POP, LOAD_GLOBAL, 19
POP, LOAD_LOCAL, 5
POP, JUMP, 3
DUPE, STORE_GLOBAL, 19
DUPE, STORE_LOCAL, 33
RETURN, JUMP, 3
