# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_CONST, 5
LOAD_CONST, CALL, 6
LOAD_CONST, CREATE_CLASS, 1
LOAD_CONST, CREATE_LIST, 1
LOAD_CONST, SWAP, 1
LOAD_GLOBAL, LOAD_FIELD, 2
LOAD_GLOBAL, CALL, 1
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 8
LOAD_GLOBAL, CREATE_OBJECT, 1
LOAD_LOCAL, LOAD_CONST, 6
LOAD_LOCAL, LOAD_LOCAL, 5
LOAD_LOCAL, LOAD_FIELD, 28
LOAD_LOCAL, CALL, 21
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_LOCAL, DUPE, 1
LOAD_FIELD, LOAD_FIELD, 5
LOAD_FIELD, ASSERT_FUNC, 29
STORE_GLOBAL, POP, 1
STORE_LOCAL, POP, 4
STORE_FIELD, POP, 3
CALL, CALL, 4
CALL, JUMP_IF_FALSE, 1
CALL, JUMP_IF_FALSE_PEEK, 1
CALL, POP, 7
CALL, DUPE, 4
CALL, SWAP, 1
JUMP, LOAD_CONST, 1
JUMP, LOAD_GLOBAL, 1
JUMP, JUMP, 1
JUMP_IF_FALSE, LOAD_GLOBAL, 2
JUMP_IF_FALSE_PEEK, LOAD_LOCAL, 1
ASSERT_FUNC, LOAD_CONST, 2
ASSERT_FUNC, LOAD_GLOBAL, 1
ASSERT_FUNC, LOAD_LOCAL, 29
ASSERT_FUNC, CALL, 5
CREATE_OBJECT, DUPE, 1
CREATE_CLASS, DUPE, 1
CREATE_LIST, SWAP, 1
CREATE_FUNC, DUPE, 17
POP, LOAD_GLOBAL, 4
POP, LOAD_LOCAL, 10
POP, JUMP, 1
DUPE, STORE_GLOBAL, 20
DUPE, STORE_LOCAL, 4
DUPE, STORE_FIELD, 3
SWAP, DUPE, 3
