# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_CONST, 7
LOAD_CONST, CALL, 7
LOAD_CONST, CREATE_CLASS, 1
LOAD_CONST, CREATE_LIST, 1
LOAD_CONST, POP, 3
LOAD_CONST, DUPE, 2
LOAD_GLOBAL, LOAD_GLOBAL, 37
LOAD_GLOBAL, LOAD_FIELD, 1
LOAD_GLOBAL, CALL, 2
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 13
LOAD_GLOBAL, CREATE_OBJECT, 1
LOAD_GLOBAL, CREATE_LIST, 3
LOAD_GLOBAL, DUPE, 1
LOAD_GLOBAL, RETURN, 2
LOAD_LOCAL, LOAD_CONST, 4
LOAD_LOCAL, LOAD_GLOBAL, 5
LOAD_LOCAL, LOAD_LOCAL, 9
LOAD_LOCAL, LOAD_FIELD, 32
LOAD_LOCAL, CALL, 24
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_LOCAL, JUMP_IF_FALSE_PEEK, 1
LOAD_FIELD, LOAD_FIELD, 7
LOAD_FIELD, ASSERT_FUNC, 33
STORE_LOCAL, POP, 6
STORE_FIELD, POP, 4
CALL, LOAD_CONST, 2
CALL, LOAD_LOCAL, 2
CALL, CALL, 6
CALL, JUMP, 1
CALL, JUMP_IF_FALSE, 3
CALL, JUMP_IF_FALSE_PEEK, 4
CALL, POP, 5
CALL, DUPE, 3
JUMP, LOAD_CONST, 3
JUMP, LOAD_GLOBAL, 1
JUMP, POP, 2
JUMP_IF_FALSE, LOAD_GLOBAL, 3
JUMP_IF_FALSE, LOAD_LOCAL, 1
JUMP_IF_FALSE_PEEK, LOAD_LOCAL, 5
ASSERT_FUNC, LOAD_CONST, 2
ASSERT_FUNC, LOAD_GLOBAL, 6
ASSERT_FUNC, LOAD_LOCAL, 31
ASSERT_FUNC, CALL, 7
CREATE_OBJECT, DUPE, 1
CREATE_CLASS, DUPE, 1
CREATE_LIST, SWAP, 4
CREATE_FUNC, DUPE, 17
POP, LOAD_CONST, 1
POP, LOAD_GLOBAL, 5
POP, LOAD_LOCAL, 12
POP, JUMP, 2
DUPE, STORE_GLOBAL, 19
DUPE, STORE_LOCAL, 6
DUPE, STORE_FIELD, 4
SWAP, DUPE, 4
RETURN, JUMP, 2
