# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_GLOBAL, 5
LOAD_CONST, LOAD_LOCAL, 5
LOAD_CONST, CALL, 10
LOAD_CONST, JUMP, 1
LOAD_CONST, RAISE, 1
LOAD_CONST, CREATE_CLASS, 2
LOAD_CONST, POP, 17
LOAD_CONST, DUPE, 14
LOAD_CONST, SWAP, 3
LOAD_GLOBAL, LOAD_CONST, 7
LOAD_GLOBAL, LOAD_GLOBAL, 15
LOAD_GLOBAL, LOAD_LOCAL, 15
LOAD_GLOBAL, LOAD_FIELD, 1
LOAD_GLOBAL, CALL, 17
LOAD_GLOBAL, JUMP, 2
LOAD_GLOBAL, JUMP_IF_FALSE, 2
LOAD_GLOBAL, ASSERT_FUNC, 45
LOAD_GLOBAL, CREATE_OBJECT, 11
LOAD_GLOBAL, CREATE_CLASS, 8
LOAD_GLOBAL, DUPE, 4
LOAD_GLOBAL, SWAP, 17
LOAD_GLOBAL, RETURN, 2
LOAD_LOCAL, LOAD_CONST, 3
LOAD_LOCAL, LOAD_GLOBAL, 31
LOAD_LOCAL, LOAD_LOCAL, 71
LOAD_LOCAL, LOAD_FIELD, 128
LOAD_LOCAL, CALL, 42
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_LOCAL, JUMP_IF_FALSE_PEEK, 1
LOAD_LOCAL, CREATE_FUNC, 4
LOAD_LOCAL, DUPE, 2
LOAD_LOCAL, SWAP, 15
LOAD_LOCAL, RETURN, 3
LOAD_FIELD, LOAD_CONST, 7
LOAD_FIELD, LOAD_LOCAL, 3
LOAD_FIELD, LOAD_FIELD, 19
LOAD_FIELD, CALL, 17
LOAD_FIELD, JUMP_IF_TRUE_PEEK, 1
LOAD_FIELD, JUMP_IF_FALSE_PEEK, 2
LOAD_FIELD, ASSERT_FUNC, 91
LOAD_FIELD, DUPE, 6
LOAD_FIELD, SWAP, 8
LOAD_NONLOCAL, LOAD_FIELD, 13
STORE_GLOBAL, POP, 16
STORE_LOCAL, JUMP, 1
STORE_LOCAL, POP, 40
STORE_FIELD, JUMP, 3
STORE_FIELD, POP, 50
CALL, LOAD_CONST, 1
CALL, CALL, 12
CALL, JUMP, 6
CALL, JUMP_IF_FALSE, 24
CALL, JUMP_IF_FALSE_PEEK, 5
CALL, POP, 15
CALL, DUPE, 13
CALL, SWAP, 16
CALL, RETURN, 8
JUMP, LOAD_CONST, 18
JUMP, LOAD_GLOBAL, 3
JUMP, LOAD_LOCAL, 6
JUMP, POP, 3
JUMP_IF_FALSE, LOAD_CONST, 1
JUMP_IF_FALSE, LOAD_GLOBAL, 6
JUMP_IF_FALSE, LOAD_LOCAL, 14
JUMP_IF_FALSE, LOAD_NONLOCAL, 6
JUMP_IF_TRUE_PEEK, LOAD_LOCAL, 1
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 1
JUMP_IF_FALSE_PEEK, LOAD_LOCAL, 7
RAISE, JUMP, 1
ASSERT_FUNC, LOAD_CONST, 5
ASSERT_FUNC, LOAD_GLOBAL, 32
ASSERT_FUNC, LOAD_LOCAL, 61
ASSERT_FUNC, CALL, 38
CREATE_OBJECT, DUPE, 11
CREATE_CLASS, DUPE, 10
CREATE_LIST, DUPE, 1
CREATE_FUNC, DUPE, 25
POP, LOAD_CONST, 14
POP, LOAD_GLOBAL, 26
POP, LOAD_LOCAL, 88
POP, LOAD_NONLOCAL, 7
POP, JUMP, 4
POP, CREATE_FUNC, 2
DUPE, STORE_GLOBAL, 45
DUPE, STORE_LOCAL, 41
DUPE, STORE_FIELD, 59
SWAP, DUPE, 59
RETURN, JUMP, 13
