# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, CALL, 3
LOAD_CONST, CREATE_CLASS, 1
LOAD_CONST, POP, 1
LOAD_CONST, DUPE, 3
LOAD_GLOBAL, LOAD_FIELD, 2
LOAD_GLOBAL, CALL, 4
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 11
LOAD_GLOBAL, CREATE_OBJECT, 1
LOAD_LOCAL, LOAD_CONST, 1
LOAD_LOCAL, LOAD_LOCAL, 5
LOAD_LOCAL, LOAD_FIELD, 26
LOAD_LOCAL, CALL, 18
LOAD_LOCAL, JUMP_IF_FALSE, 1
LOAD_FIELD, ASSERT_FUNC, 28
STORE_GLOBAL, POP, 1
STORE_LOCAL, POP, 9
CALL, LOAD_GLOBAL, 2
CALL, CALL, 5
CALL, JUMP_IF_FALSE, 1
CALL, JUMP_IF_FALSE_PEEK, 3
CALL, POP, 3
CALL, DUPE, 6
JUMP, LOAD_CONST, 1
JUMP, LOAD_GLOBAL, 1
JUMP, JUMP, 1
JUMP, POP, 2
JUMP_IF_FALSE, LOAD_GLOBAL, 1
JUMP_IF_FALSE, LOAD_LOCAL, 1
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 1
JUMP_IF_FALSE_PEEK, LOAD_LOCAL, 2
ASSERT_FUNC, LOAD_CONST, 2
ASSERT_FUNC, LOAD_GLOBAL, 2
ASSERT_FUNC, LOAD_LOCAL, 26
ASSERT_FUNC, CALL, 9
CREATE_OBJECT, DUPE, 1
CREATE_CLASS, DUPE, 1
CREATE_LIST, DUPE, 1
CREATE_FUNC, DUPE, 17
POP, LOAD_CONST, 2
POP, LOAD_GLOBAL, 7
POP, LOAD_LOCAL, 3
POP, JUMP, 3
POP, CREATE_LIST, 1
DUPE, STORE_GLOBAL, 20
DUPE, STORE_LOCAL, 9
