# Omitting opcode pairs seen zero times during compilation
opcode, next opcode, counts
LOAD_CONST, LOAD_CONST, 5
LOAD_CONST, LOAD_LOCAL, 1
LOAD_CONST, CALL, 7
LOAD_CONST, RAISE, 2
LOAD_CONST, CREATE_CLASS, 2
LOAD_CONST, CREATE_LIST, 1
LOAD_CONST, SWAP, 2
LOAD_GLOBAL, LOAD_FIELD, 2
LOAD_GLOBAL, CALL, 1
LOAD_GLOBAL, JUMP, 1
LOAD_GLOBAL, ASSERT_FUNC, 11
LOAD_GLOBAL, CREATE_OBJECT, 2
LOAD_LOCAL, LOAD_CONST, 7
LOAD_LOCAL, LOAD_LOCAL, 10
LOAD_LOCAL, LOAD_FIELD, 38
LOAD_LOCAL, CALL, 27
LOAD_LOCAL, JUMP, 1
LOAD_LOCAL, JUMP_IF_FALSE, 2
LOAD_LOCAL, DUPE, 1
LOAD_LOCAL, SWAP, 2
LOAD_FIELD, LOAD_LOCAL, 1
LOAD_FIELD, LOAD_FIELD, 5
LOAD_FIELD, CALL, 2
LOAD_FIELD, ASSERT_FUNC, 36
STORE_GLOBAL, POP, 1
STORE_LOCAL, POP, 6
STORE_FIELD, POP, 4
CALL, LOAD_LOCAL, 4
CALL, CALL, 3
CALL, JUMP, 1
CALL, JUMP_IF_FALSE, 2
CALL, JUMP_IF_FALSE_PEEK, 2
CALL, POP, 9
CALL, DUPE, 5
CALL, SWAP, 1
JUMP, LOAD_CONST, 1
JUMP, LOAD_GLOBAL, 2
JUMP, LOAD_LOCAL, 1
JUMP_IF_FALSE, LOAD_CONST, 1
JUMP_IF_FALSE, LOAD_GLOBAL, 1
JUMP_IF_FALSE, LOAD_LOCAL, 2
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 2
RAISE, JUMP, 1
ASSERT_FUNC, LOAD_CONST, 4
ASSERT_FUNC, LOAD_GLOBAL, 2
ASSERT_FUNC, LOAD_LOCAL, 34
ASSERT_FUNC, CALL, 7
CREATE_OBJECT, DUPE, 2
CREATE_CLASS, DUPE, 2
CREATE_LIST, SWAP, 1
CREATE_FUNC, DUPE, 17
POP, LOAD_GLOBAL, 4
POP, LOAD_LOCAL, 15
POP, JUMP, 1
DUPE, STORE_GLOBAL, 21
DUPE, STORE_LOCAL, 6
DUPE, STORE_FIELD, 6
SWAP, DUPE, 6
